epoch,accuracy,loss,val_accuracy,val_loss
0,0.34128672,1.7475352188550033,0.43117859959602356,1.5612248516109335
1,0.44707236,1.4851163843340864,0.4350793957710266,1.551167209157043
2,0.4869553,1.3725440543897682,0.4380050301551819,1.5392801721768978
3,0.5117211,1.305338535211175,0.46001672744750977,1.4573699801238542
4,0.5268383,1.2686504797317786,0.553078830242157,1.1931162283393326
5,0.5427566,1.2243272424005798,0.5410978198051453,1.2420402579601177
6,0.55209166,1.2028407727714086,0.5606018304824829,1.163515198592789
7,0.55846596,1.179213412046607,0.5632488131523132,1.1651947566412657
8,0.56633806,1.158422336562092,0.5608804821968079,1.2303597886903135
9,0.57323486,1.1491338920849046,0.5667316913604736,1.1870285272266115
10,0.5720854,1.1347168329604231,0.5672889351844788,1.1543913298445048
11,0.5840677,1.1200642322475807,0.5769016146659851,1.1322822420336005
12,0.58281374,1.1135975290247504,0.5580942034721375,1.1870777174502436
13,0.5887004,1.1030044393037992,0.5674282312393188,1.1548568983535044
14,0.592114,1.0893039274640897,0.5714683532714844,1.1492438283130033
15,0.5987669,1.0842722839329026,0.5633881092071533,1.162798285484314
16,0.59908044,1.073388433700578,0.5906937718391418,1.0950573799370324
17,0.6013445,1.0653073763315022,0.592365562915802,1.105688053756479
18,0.6051761,1.0590301907325372,0.5938979983329773,1.0896862061716581
19,0.6063604,1.0541335432281722,0.6005851030349731,1.0678701967739999
20,0.61064476,1.046010154845502,0.5922262668609619,1.0747975675499715
21,0.61269987,1.0411666853298167,0.5299526453018188,1.2300576204441822
22,0.6108189,1.0384763876652452,0.5645026564598083,1.1734489216117614
23,0.60963464,1.036807485515203,0.592644214630127,1.0750461581292077
24,0.6152774,1.0308432463667991,0.5969629287719727,1.0981877662903687
25,0.6173674,1.021671107482701,0.6012817025184631,1.0666963818612023
26,0.62165177,1.0192532295708854,0.5883254408836365,1.113992184176356
27,0.62402034,1.0127653273464747,0.5866536498069763,1.096426107551966
28,0.6237417,1.0098271103063727,0.6004458069801331,1.075268805309337
29,0.6200146,1.011685926848027,0.592644214630127,1.077206216472276
30,0.625762,1.0046747850605244,0.5929228067398071,1.112684314049662
31,0.6300463,0.9965235777851963,0.5710504055023193,1.1733651649124877
32,0.62816536,0.997533104832367,0.6166062951087952,1.0414345302134047
33,0.6315789,0.9932254999175316,0.6104764342308044,1.0432188895194436
34,0.6333554,0.9870248691673342,0.6178601384162903,1.0412624838392726
35,0.6310913,0.9915346567940698,0.6049038767814636,1.0828804830948136
36,0.6322756,0.9842563854281509,0.6175814867019653,1.0253205171997217
37,0.63398236,0.9823659503404705,0.6010030508041382,1.0807579355540133
38,0.63398236,0.9773458851272773,0.6264976263046265,1.0055657031476979
39,0.63293743,0.9754284066197898,0.6122875213623047,1.042131746635692
40,0.640496,0.9710573469310674,0.607550859451294,1.0787791271799618
41,0.6401825,0.9654848486462242,0.6101978421211243,1.0743758636917302
42,0.6405308,0.9649448285579448,0.6195319294929504,1.0422770836686117
43,0.6420983,0.9632303883004676,0.6033714413642883,1.0750453520299466
44,0.6427601,0.958993210175069,0.6014209985733032,1.0761903899730365
45,0.63990384,0.9637245988849147,0.623572051525116,1.0155333554754684
46,0.6442579,0.9594847363399037,0.5957090854644775,1.1201591537868323
47,0.6419938,0.9578601241946374,0.6217609643936157,1.038945716581294
48,0.6512592,0.9488805078605594,0.6140986084938049,1.0480608683703303
49,0.6484378,0.9493289580352295,0.6142379641532898,1.0549232095488268
50,0.64916927,0.9475438016356792,0.6227361559867859,1.0155610554927104
51,0.6696506,0.899286800178433,0.6354137659072876,0.9857313684448621
52,0.6740395,0.8843610107996291,0.6407077312469482,0.9804757891607404
53,0.67828906,0.8755568290911954,0.6376428008079529,0.9813008074907913
54,0.6803093,0.8730059048279836,0.6383393406867981,0.9804690631527394
55,0.67515415,0.8744674200460892,0.6348565220832825,0.9810573901263875
56,0.67895085,0.8712158110361911,0.6333240270614624,0.9788354552200692
57,0.6761991,0.8711736020492433,0.6365282535552979,0.9800440219824412
58,0.67992616,0.8674733890643866,0.638200044631958,0.9839119431234462
59,0.68215543,0.8673767623198294,0.638896644115448,0.9806623770420715
60,0.68313074,0.860387858745218,0.6409863233566284,0.9759464598725054
61,0.6807273,0.8608787225835679,0.6398718357086182,0.9778797270428606
62,0.6826779,0.8554579843846628,0.6401504874229431,0.9780090914094106
63,0.6840712,0.855862791209623,0.6383393406867981,0.9779409229938085
64,0.68476784,0.851709501804522,0.6344385743141174,0.9841231455806904
65,0.6834791,0.8542814888012081,0.6390359401702881,0.9755355457503605
66,0.6866488,0.8490357615115679,0.6398718357086182,0.9704318999845558
67,0.68379253,0.8499877174104318,0.639314591884613,0.976982015492558
68,0.6828869,0.8543798400464736,0.6416829228401184,0.9760803940170619
69,0.6875196,0.8446473218857455,0.6426581144332886,0.9733676069059821
70,0.6840015,0.8560072687909689,0.6411256790161133,0.9764541221814224
71,0.6886342,0.8484447792475033,0.6416829228401184,0.9713384905177659
72,0.68476784,0.8514928747989852,0.6402897834777832,0.9743606897741016
73,0.6868926,0.8468793725895987,0.6379214525222778,0.9806000410796342
74,0.68577796,0.8495763413414212,0.6423795223236084,0.972268970971255
75,0.6870319,0.84539952154896,0.6411256790161133,0.9731332605746703
76,0.68570834,0.8434861086309215,0.6408470273017883,0.9737426675970291
77,0.68619597,0.8443238711032405,0.6418222188949585,0.9838217430109432
78,0.6892612,0.8421570543020579,0.639314591884613,0.9886930513660965
79,0.69159496,0.8347271585494375,0.6427974104881287,0.974775041933344
80,0.6919433,0.8344599904882493,0.6425188183784485,0.9726214449397034
81,0.69051516,0.8360367541594035,0.6440512537956238,0.9715166678831217
82,0.69103765,0.8361054145516246,0.6443299055099487,0.9704732710553199
83,0.69169945,0.8343808429526611,0.6440512537956238,0.9708082387293903
84,0.6906893,0.8373504631251658,0.6429367661476135,0.9723470334589531
85,0.68985337,0.8351035238998163,0.6429367661476135,0.9713628599988481
86,0.69323206,0.8293331633532963,0.6425188183784485,0.9725556014207918
87,0.6933366,0.8308141745055722,0.6430760622024536,0.971506374464888
88,0.69058484,0.8366385075489494,0.6425188183784485,0.9717813491090556
89,0.69365007,0.8289383514698797,0.6411256790161133,0.9722231270776017
90,0.6929883,0.8313969508446165,0.6419615745544434,0.9728080583302946
91,0.6948692,0.829217174035005,0.6414042711257935,0.9731087050553516
92,0.6934759,0.8270933917686647,0.6411256790161133,0.9735726244305462
93,0.6940681,0.8301305224883934,0.6429367661476135,0.9719563104143778
94,0.69681984,0.8263352025767272,0.6433547139167786,0.97156404342848
95,0.6928489,0.8321883453442188,0.6427974104881287,0.9718428209785234
96,0.69479954,0.8322339008156668,0.6419615745544434,0.972380015869332
97,0.6912118,0.8311127824410695,0.6425188183784485,0.9721648868460879
98,0.69417256,0.8264572321932627,0.6434940099716187,0.9716681412715173
99,0.6929534,0.8310910416494829,0.6432153582572937,0.9710119003105642
100,0.6927096,0.8329537125514748,0.6421008706092834,0.9727861843390796
101,0.6960535,0.828017266663087,0.6432153582572937,0.9727178389862009
102,0.69277924,0.8328255925450423,0.6433547139167786,0.9719365261895772
103,0.69257027,0.8322246762749012,0.6422401666641235,0.9719602522593616
104,0.69424224,0.8279310334891028,0.6429367661476135,0.9723300785698177
105,0.69169945,0.8284834473230003,0.6429367661476135,0.9728644226679533
106,0.6916298,0.8353953631080602,0.6426581144332886,0.9723873551292451
107,0.69103765,0.8303370488309084,0.6432153582572937,0.9714447183175883
108,0.6887736,0.8375027781100212,0.6429367661476135,0.9723780272431478
109,0.690341,0.8321201799784448,0.6427974104881287,0.9724722285561656
